id,code,decor,structure,name,url,category,sellUnit,label,length,width,description,isNew,thickness,side,producer,additional_info,price_600_m_1,price_700_m_1,price_800_m_1,price_900_m_1,price_1200_m_1,price_600_m_2,price_700_m_2,price_800_m_2,price_900_m_2,price_1200_m_2_2,url + code
recW2ck0bojPsT3Ov,J_1365_SD_3050_28,1365,SD,ORZECH,https://qr-codes-page.vercel.app/product/recW2ck0bojPsT3Ov,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,28,1_2,Juan,,"PLN 82,40","PLN 174,49","PLN 180,48","PLN 186,46","PLN 203,91","PLN 139,78","PLN 177,20","PLN 183,36","PLN 189,53","PLN 181,31","https://qr-codes-page.vercel.app/product/recW2ck0bojPsT3Ov, J_1365_SD_3050_28"
recrJMyeSeWEqd9VL,J_4950N_GR_3050; 4200_28,4950N,GR,PIETRA,https://qr-codes-page.vercel.app/product/recrJMyeSeWEqd9VL,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,28,1_2,Juan,,"PLN 82,40","PLN 174,49","PLN 180,48","PLN 186,46","PLN 203,91","PLN 139,78","PLN 177,20","PLN 183,36","PLN 189,53","PLN 181,31","https://qr-codes-page.vercel.app/product/recrJMyeSeWEqd9VL, J_4950N_GR_3050; 4200_28"
recfdI2znLEGTRWi2,J_5526_SK_3050; 4200_28,5526,SK,SANDR,https://qr-codes-page.vercel.app/product/recfdI2znLEGTRWi2,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,28,1_2,Juan,,"PLN 82,40","PLN 174,49","PLN 180,48","PLN 186,46","PLN 203,91","PLN 139,78","PLN 177,20","PLN 183,36","PLN 189,53","PLN 181,31","https://qr-codes-page.vercel.app/product/recfdI2znLEGTRWi2, J_5526_SK_3050; 4200_28"
recJaHwLXpAKa3uSt,J_8937_GR_3050; 4200_28,8937,GR,SNOWLAND,https://qr-codes-page.vercel.app/product/recJaHwLXpAKa3uSt,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,28,1_2,Juan,,"PLN 82,40","PLN 174,49","PLN 180,48","PLN 186,46","PLN 203,91","PLN 139,78","PLN 177,20","PLN 183,36","PLN 189,53","PLN 181,31","https://qr-codes-page.vercel.app/product/recJaHwLXpAKa3uSt, J_8937_GR_3050; 4200_28"
rec5rsCxKwjyn2h4R,J_1401_ST22_3050; 4200_28,1401,ST22,SOSNA CASCINA,https://qr-codes-page.vercel.app/product/rec5rsCxKwjyn2h4R,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,28,1_2,Juan,,"PLN 82,40","PLN 174,49","PLN 180,48","PLN 186,46","PLN 203,91","PLN 139,78","PLN 177,20","PLN 183,36","PLN 189,53","PLN 181,31","https://qr-codes-page.vercel.app/product/rec5rsCxKwjyn2h4R, J_1401_ST22_3050; 4200_28"
rec3vAXLU3vAUeJuF,J_1011_MOON_3050; 4200_28,1011,MOON,SZARY KSIĘŻYCOWY,https://qr-codes-page.vercel.app/product/rec3vAXLU3vAUeJuF,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,28,1_2,Juan,,"PLN 82,40","PLN 174,49","PLN 180,48","PLN 186,46","PLN 203,91","PLN 139,78","PLN 177,20","PLN 183,36","PLN 189,53","PLN 181,31","https://qr-codes-page.vercel.app/product/rec3vAXLU3vAUeJuF, J_1011_MOON_3050; 4200_28"
recQRCAZbkKdSCi2Q,J_580_GR_3050; 4200_28,580,GR,TRAWERTYN,https://qr-codes-page.vercel.app/product/recQRCAZbkKdSCi2Q,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,28,1_2,Juan,,"PLN 82,40","PLN 174,49","PLN 180,48","PLN 186,46","PLN 203,91","PLN 139,78","PLN 177,20","PLN 183,36","PLN 189,53","PLN 181,31","https://qr-codes-page.vercel.app/product/recQRCAZbkKdSCi2Q, J_580_GR_3050; 4200_28"
recSASA5V044G89qo,J_241_ST87_3050; 4200_28,241,ST87,BETON SANTURO,https://qr-codes-page.vercel.app/product/recSASA5V044G89qo,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,28,1_2,Juan,,"PLN 82,40","PLN 179,93","PLN 185,90","PLN 191,88","PLN 209,34","PLN 142,49","PLN 182,62","PLN 188,79","PLN 194,96","PLN 186,72","https://qr-codes-page.vercel.app/product/recSASA5V044G89qo, J_241_ST87_3050; 4200_28"
recLmEJbq0SPJ8k5y,J_1049_MOON_3050; 4200_28,1049,MOON,CZARNY KSIĘŻYCOWY,https://qr-codes-page.vercel.app/product/recLmEJbq0SPJ8k5y,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,28,1_2,Juan,,"PLN 84,86","PLN 179,93","PLN 185,90","PLN 191,88","PLN 209,34","PLN 142,49","PLN 182,62","PLN 188,79","PLN 194,96","PLN 186,72","https://qr-codes-page.vercel.app/product/recLmEJbq0SPJ8k5y, J_1049_MOON_3050; 4200_28"
recEqJuUvdJNlv1ny,J_6832_BW_3050_28,6832,BW,DĄB ANASTASIA,https://qr-codes-page.vercel.app/product/recEqJuUvdJNlv1ny,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,28,1_2,Juan,,"PLN 84,86","PLN 179,93","PLN 185,90","PLN 191,88","PLN 209,34","PLN 142,49","PLN 182,62","PLN 188,79","PLN 194,96","PLN 186,72","https://qr-codes-page.vercel.app/product/recEqJuUvdJNlv1ny, J_6832_BW_3050_28"
